2 ../nhg/6lzg.nhg ../lig/ligCHEMBL115.lig 1 0.000000 2 nb:0.0006, b:0.9994 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL584.lig 1 0.000000 2 nb:0.0030, b:0.9970 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL114.lig 1 0.000000 2 nb:0.1633, b:0.8367 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL163.lig 1 0.000000 2 nb:0.0005, b:0.9995 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL116.lig 1 0.000000 2 nb:0.7894, b:0.2106 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL16694.lig 1 0.000000 2 nb:0.7928, b:0.2072 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL729.lig 1 0.000000 2 nb:0.0001, b:0.9999 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL57.lig 1 0.000000 2 nb:0.0321, b:0.9679 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL429910.lig 1 0.000000 2 nb:0.0013, b:0.9987 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL54.lig 1 0.000000 2 nb:0.9161, b:0.0839 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1121.lig 1 0.000000 2 nb:0.8784, b:0.1216 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL655.lig 1 0.000000 2 nb:0.9988, b:0.0012 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1560.lig 1 0.000000 2 nb:0.1619, b:0.8381 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL205596.lig 1 0.000000 2 nb:0.6717, b:0.3283 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL8.lig 1 0.000000 2 nb:0.2876, b:0.7124 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1485.lig 1 0.000000 2 nb:0.9986, b:0.0014 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL490.lig 1 0.000000 2 nb:0.4847, b:0.5153 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL122.lig 1 0.000000 2 nb:0.0724, b:0.9276 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1113.lig 1 0.000000 2 nb:0.1779, b:0.8221 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL313972.lig 1 0.000000 2 nb:0.9230, b:0.0770 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL831.lig 1 0.000000 2 nb:0.7221, b:0.2779 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL914.lig 1 0.000000 2 nb:0.8326, b:0.1674 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL896.lig 1 0.000000 2 nb:0.9450, b:0.0550 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL998.lig 1 0.000000 2 nb:0.9995, b:0.0005 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL76.lig 1 0.000000 2 nb:0.1362, b:0.8638 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL53463.lig 1 0.000000 2 nb:0.9741, b:0.0259 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL512.lig 1 0.000000 2 nb:0.9909, b:0.0091 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1000.lig 1 0.000000 2 nb:0.9304, b:0.0696 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL701.lig 1 0.000000 2 nb:0.8363, b:0.1637 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL590.lig 1 0.000000 2 nb:0.9862, b:0.0138 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL175247.lig 1 0.000000 2 nb:0.1230, b:0.8770 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL434.lig 1 0.000000 2 nb:0.0619, b:0.9381 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL723.lig 1 0.000000 2 nb:0.0699, b:0.9301 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL24.lig 1 0.000000 2 nb:0.9896, b:0.0104 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL13.lig 1 0.000000 2 nb:0.7561, b:0.2439 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL27.lig 1 0.000000 2 nb:0.6217, b:0.3783 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL471.lig 1 0.000000 2 nb:0.0249, b:0.9751 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL35.lig 1 0.000000 2 nb:0.9946, b:0.0054 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL649.lig 1 0.000000 2 nb:0.0001, b:0.9999 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL106.lig 1 0.000000 2 nb:0.9830, b:0.0170 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL537.lig 1 0.000000 2 nb:0.9489, b:0.0511 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL911.lig 1 0.000000 2 nb:0.0177, b:0.9823 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL112.lig 1 0.000000 2 nb:0.3071, b:0.6929 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL363707.lig 1 0.000000 2 nb:1.0000, b:0.0000 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1644698.lig 1 0.000000 2 nb:0.9999, b:0.0001 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL180485.lig 1 0.000000 2 nb:0.9999, b:0.0001 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL183495.lig 1 0.000000 2 nb:1.0000, b:0.0000 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1140.lig 1 0.000000 2 nb:0.9996, b:0.0004 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL121.lig 1 0.000000 2 nb:0.6902, b:0.3098 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1201082.lig 1 0.000000 2 nb:0.9411, b:0.0589 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL981.lig 1 0.000000 2 nb:0.9423, b:0.0577 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL683.lig 1 0.000000 2 nb:0.6841, b:0.3159 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL744.lig 1 0.000000 2 nb:0.9858, b:0.0142 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL91.lig 1 0.000000 2 nb:0.4746, b:0.5254 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL295698.lig 1 0.000000 2 nb:0.0001, b:0.9999 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL104.lig 1 0.000000 2 nb:0.7033, b:0.2967 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1068.lig 1 0.000000 2 nb:0.8648, b:0.1352 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL844.lig 1 0.000000 2 nb:0.0486, b:0.9514 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL38.lig 1 0.000000 2 nb:0.0763, b:0.9237 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL12856.lig 1 0.000000 2 nb:0.9994, b:0.0006 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL72.lig 1 0.000000 2 nb:0.6497, b:0.3503 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL21731.lig 1 0.000000 2 nb:0.0421, b:0.9579 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL1466.lig 1 0.000000 2 nb:0.1667, b:0.8333 pred:1
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL715.lig 1 0.000000 2 nb:0.9999, b:0.0001 pred:0
2 ../nhg/6lzg.nhg ../lig/ligCHEMBL505.lig 1 0.000000 2 nb:0.9798, b:0.0202 pred:0
